V4_0,time_codelist,time,geography_codelist,geography,estimate_codelist,estimate,measureofwellbeing_codelist,measureofwellbeing
7.65,year ending,April 2015 - March 2016,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.56,year ending,April 2015 - March 2016,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
14.23,year ending,April 2015 - March 2016,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
52.05,year ending,April 2015 - March 2016,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
29.15,year ending,April 2015 - March 2016,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.65,year ending,July 2015 - June 2016,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.57,year ending,July 2015 - June 2016,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
14.15,year ending,July 2015 - June 2016,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
52.04,year ending,July 2015 - June 2016,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
29.24,year ending,July 2015 - June 2016,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.66,year ending,October 2015 - September 2016,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.58,year ending,October 2015 - September 2016,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
13.99,year ending,October 2015 - September 2016,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
52.1,year ending,October 2015 - September 2016,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
29.33,year ending,October 2015 - September 2016,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.67,year ending,January 2016 - December 2016,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.52,year ending,January 2016 - December 2016,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
13.86,year ending,January 2016 - December 2016,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.99,year ending,January 2016 - December 2016,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
29.63,year ending,January 2016 - December 2016,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.68,year ending,April 2016 - March 2017,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.53,year ending,April 2016 - March 2017,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
13.75,year ending,April 2016 - March 2017,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.74,year ending,April 2016 - March 2017,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
29.97,year ending,April 2016 - March 2017,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.69,year ending,July 2016 - June 2017,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.54,year ending,July 2016 - June 2017,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
13.57,year ending,July 2016 - June 2017,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.77,year ending,July 2016 - June 2017,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
30.12,year ending,July 2016 - June 2017,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.69,year ending,October 2016 - September 2017,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.46,year ending,October 2016 - September 2017,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
13.47,year ending,October 2016 - September 2017,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.92,year ending,October 2016 - September 2017,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
30.16,year ending,October 2016 - September 2017,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.67,year ending,April 2011 - March 2012,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.77,year ending,April 2011 - March 2012,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
15.04,year ending,April 2011 - March 2012,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
48.73,year ending,April 2011 - March 2012,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
31.47,year ending,April 2011 - March 2012,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.68,year ending,July 2011 - June 2012,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.63,year ending,July 2011 - June 2012,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
14.97,year ending,July 2011 - June 2012,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
48.94,year ending,July 2011 - June 2012,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
31.46,year ending,July 2011 - June 2012,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.69,year ending,October 2011 - September 2012,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.47,year ending,October 2011 - September 2012,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
14.85,year ending,October 2011 - September 2012,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.23,year ending,October 2011 - September 2012,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
31.45,year ending,October 2011 - September 2012,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.7,year ending,January 2012 - December 2012,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.38,year ending,January 2012 - December 2012,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
14.87,year ending,January 2012 - December 2012,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.26,year ending,January 2012 - December 2012,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
31.5,year ending,January 2012 - December 2012,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.7,year ending,April 2012 - March 2013,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.34,year ending,April 2012 - March 2013,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
14.81,year ending,April 2012 - March 2013,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.46,year ending,April 2012 - March 2013,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
31.39,year ending,April 2012 - March 2013,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.71,year ending,July 2012 - June 2013,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.34,year ending,July 2012 - June 2013,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
14.48,year ending,July 2012 - June 2013,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.42,year ending,July 2012 - June 2013,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
31.76,year ending,July 2012 - June 2013,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.72,year ending,October 2012 - September 2013,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.35,year ending,October 2012 - September 2013,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
14.26,year ending,October 2012 - September 2013,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.27,year ending,October 2012 - September 2013,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
32.12,year ending,October 2012 - September 2013,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.73,year ending,January 2013 - December 2013,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.31,year ending,January 2013 - December 2013,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
14.15,year ending,January 2013 - December 2013,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.21,year ending,January 2013 - December 2013,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
32.33,year ending,January 2013 - December 2013,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.74,year ending,April 2013 - March 2014,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.2,year ending,April 2013 - March 2014,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
13.93,year ending,April 2013 - March 2014,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.18,year ending,April 2013 - March 2014,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
32.69,year ending,April 2013 - March 2014,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.76,year ending,July 2013 - June 2014,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
4.07,year ending,July 2013 - June 2014,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
13.7,year ending,July 2013 - June 2014,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.1,year ending,July 2013 - June 2014,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
33.13,year ending,July 2013 - June 2014,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.78,year ending,October 2013 - September 2014,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.99,year ending,October 2013 - September 2014,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
13.53,year ending,October 2013 - September 2014,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.1,year ending,October 2013 - September 2014,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
33.38,year ending,October 2013 - September 2014,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.8,year ending,January 2014 - December 2014,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.96,year ending,January 2014 - December 2014,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
13.08,year ending,January 2014 - December 2014,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.1,year ending,January 2014 - December 2014,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
33.86,year ending,January 2014 - December 2014,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.82,year ending,April 2014 - March 2015,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.79,year ending,April 2014 - March 2015,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.84,year ending,April 2014 - March 2015,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.02,year ending,April 2014 - March 2015,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.35,year ending,April 2014 - March 2015,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.84,year ending,July 2014 - June 2015,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.67,year ending,July 2014 - June 2015,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.68,year ending,July 2014 - June 2015,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.26,year ending,July 2014 - June 2015,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.4,year ending,July 2014 - June 2015,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.84,year ending,October 2014 - September 2015,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.64,year ending,October 2014 - September 2015,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.62,year ending,October 2014 - September 2015,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.22,year ending,October 2014 - September 2015,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.52,year ending,October 2014 - September 2015,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.84,year ending,January 2015 - December 2015,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.56,year ending,January 2015 - December 2015,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.77,year ending,January 2015 - December 2015,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.22,year ending,January 2015 - December 2015,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.46,year ending,January 2015 - December 2015,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.84,year ending,April 2015 - March 2016,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.62,year ending,April 2015 - March 2016,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.8,year ending,April 2015 - March 2016,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.21,year ending,April 2015 - March 2016,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.37,year ending,April 2015 - March 2016,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.84,year ending,July 2015 - June 2016,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.64,year ending,July 2015 - June 2016,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.74,year ending,July 2015 - June 2016,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.15,year ending,July 2015 - June 2016,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.47,year ending,July 2015 - June 2016,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.84,year ending,October 2015 - September 2016,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.59,year ending,October 2015 - September 2016,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.64,year ending,October 2015 - September 2016,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.19,year ending,October 2015 - September 2016,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.57,year ending,October 2015 - September 2016,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.85,year ending,January 2016 - December 2016,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.62,year ending,January 2016 - December 2016,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.47,year ending,January 2016 - December 2016,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
48.99,year ending,January 2016 - December 2016,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.92,year ending,January 2016 - December 2016,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.86,year ending,April 2016 - March 2017,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.67,year ending,April 2016 - March 2017,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.3,year ending,April 2016 - March 2017,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
48.9,year ending,April 2016 - March 2017,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
35.13,year ending,April 2016 - March 2017,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.87,year ending,July 2016 - June 2017,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.68,year ending,July 2016 - June 2017,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.21,year ending,July 2016 - June 2017,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
48.56,year ending,July 2016 - June 2017,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
35.55,year ending,July 2016 - June 2017,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.87,year ending,October 2016 - September 2017,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
3.63,year ending,October 2016 - September 2017,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
12.18,year ending,October 2016 - September 2017,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
48.59,year ending,October 2016 - September 2017,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
35.59,year ending,October 2016 - September 2017,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.29,year ending,April 2011 - March 2012,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
10.74,year ending,April 2011 - March 2012,K02000001,United Kingdom,poor,Poor,happiness,Happiness
18.03,year ending,April 2011 - March 2012,K02000001,United Kingdom,fair,Fair,happiness,Happiness
39.34,year ending,April 2011 - March 2012,K02000001,United Kingdom,good,Good,happiness,Happiness
31.9,year ending,April 2011 - March 2012,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.29,year ending,July 2011 - June 2012,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
10.66,year ending,July 2011 - June 2012,K02000001,United Kingdom,poor,Poor,happiness,Happiness
18.17,year ending,July 2011 - June 2012,K02000001,United Kingdom,fair,Fair,happiness,Happiness
39.78,year ending,July 2011 - June 2012,K02000001,United Kingdom,good,Good,happiness,Happiness
31.39,year ending,July 2011 - June 2012,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.3,year ending,October 2011 - September 2012,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
10.44,year ending,October 2011 - September 2012,K02000001,United Kingdom,poor,Poor,happiness,Happiness
18.12,year ending,October 2011 - September 2012,K02000001,United Kingdom,fair,Fair,happiness,Happiness
39.92,year ending,October 2011 - September 2012,K02000001,United Kingdom,good,Good,happiness,Happiness
31.53,year ending,October 2011 - September 2012,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.31,year ending,January 2012 - December 2012,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
10.38,year ending,January 2012 - December 2012,K02000001,United Kingdom,poor,Poor,happiness,Happiness
17.94,year ending,January 2012 - December 2012,K02000001,United Kingdom,fair,Fair,happiness,Happiness
40.19,year ending,January 2012 - December 2012,K02000001,United Kingdom,good,Good,happiness,Happiness
31.49,year ending,January 2012 - December 2012,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.3,year ending,April 2012 - March 2013,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
10.26,year ending,April 2012 - March 2013,K02000001,United Kingdom,poor,Poor,happiness,Happiness
17.98,year ending,April 2012 - March 2013,K02000001,United Kingdom,fair,Fair,happiness,Happiness
40.7,year ending,April 2012 - March 2013,K02000001,United Kingdom,good,Good,happiness,Happiness
31.06,year ending,April 2012 - March 2013,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.33,year ending,July 2012 - June 2013,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
10.03,year ending,July 2012 - June 2013,K02000001,United Kingdom,poor,Poor,happiness,Happiness
17.58,year ending,July 2012 - June 2013,K02000001,United Kingdom,fair,Fair,happiness,Happiness
40.95,year ending,July 2012 - June 2013,K02000001,United Kingdom,good,Good,happiness,Happiness
31.44,year ending,July 2012 - June 2013,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.35,year ending,October 2012 - September 2013,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
9.91,year ending,October 2012 - September 2013,K02000001,United Kingdom,poor,Poor,happiness,Happiness
